Question,Predicted Answer,Actual Answer
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any suitcase in image?,No,No
How many apple in image?,0,0
How many tv in image?,0,0
What is the position of the red airplane relative to the yellow airplane?,Right,Above
What is the position of the blue airplane relative to the yellow airplane?,Above,Below
Is the brown airplane below the beige airplane?,No,No
What color is the airplane on the top?,White,Red
What color is the airplane on the bottom left?,White,Blue
Is the topmost airplane red?,Yes,Yes
Is there an airplane that is blue?,Yes,Yes
Is there an airplane that is yellow?,Yes,Yes
How many person in image?,1,5
Are there any person in image?,Yes,Yes
Are there any motorcycle in image?,Yes,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
Are there any skateboard in image?,No,No
What is the location of the airplane?,Above,Above
What is the location of the ship?,Behind,Left
Is the boat to the right of the plane?,No,No
Is the boat docked?,Yes,Yes
What color is the sky?,Blue,Blue
What color is the boat?,White,Red
Is the sky blue?,Yes,Yes
Is the plane white?,Yes,Yes
Are the flags on the ship colorful?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many train in image?,1,0
"Where is the US flag relative to ""Charleston""?",Above,Above
"Where is ""Charleston"" relative to ""50102""?",Below,Above
Where is the tail relative to the body?,Behind,Above
Is the word 'CHARLESTON' below the number '50102'?,No,No
"What is the color of the stripe with the word ""CHARLESTON""?",Red,Yellow
"What color is the background of the state emblem next to the word ""CHARLESTON""?",Red,Blue
What color is the American flag?,Red,Red
"Is the stripe with the word ""CHARLESTON"" yellow?",Yes,Yes
Is the background color of the emblem with the palm tree blue?,Yes,Yes
Is the background color of the American flag blue?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any bus in image?,No,No
How many baseball glove in image?,0,0
How many cell phone in image?,1,0
How many teddy bear in image?,1,0
Is the plane in the middle of the grass?,Yes,Yes
What color are the trees?,Green,Green
What color is the sky?,Blue,Blue
What color is the grass?,Green,Green
Is the grass green?,Yes,Yes
Is the sky blue?,Yes,Yes
Is the airplane white?,Yes,Yes
How many car in image?,1,0
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any fire hydrant in image?,No,No
Are there any horse in image?,Yes,No
How many teddy bear in image?,1,0
Where is the plane in relation to the clouds?,Above,Below
Where is the plane in relation to the tower?,Above,Right
Is the plane closer to the clouds than the building?,Yes,Yes
What color is the sky?,Blue,Blue
What color are the clouds?,White,White
Is the sky blue?,Yes,Yes
Are the clouds white?,Yes,Yes
Is the structure grey?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any airplane in image?,No,No
How many stop sign in image?,0,0
Are there any cat in image?,Yes,No
How many cake in image?,1,0
Are there any dining table in image?,Yes,No
How many vase in image?,1,0
Are all people in the image sitting on a bench?,Yes,No
Is there a person with a bag standing on the right side of the bench?,No,No
What is the color of the sky?,Blue,Blue
What color are the frames of the window?,Black,Black
What is the color of the bench?,Brown,Black
Is the sky blue?,Yes,Yes
Are the window frames black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any carrot in image?,No,No
Are there any toaster in image?,No,No
Are the planes outside the window?,Yes,Yes
What color is the carpet?,Red,Black
What color is the wall on the left side?,Yellow,Orange
What color are the seat?,Blue,Black
Is the carpet black?,Yes,Yes
Are the seats black?,Yes,Yes
Is the wall on the right side yellow?,No,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many baseball bat in image?,0,0
Are there any toilet in image?,No,No
Where is the water relative to the plane?,Below,Below
Where is the plane relative to the trees?,Above,Above
Is the water above the plane?,No,No
Is the car to the right of the trees?,No,No
What color is the water being dropped?,Blue,Yellow
What is the color of the plane's fuselage?,White,Yellow
What color are the wingtips of the plane?,Red,Red
Is the plane yellow?,Yes,Yes
Are the wingtips red?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any bird in image?,Yes,No
Are there any skateboard in image?,No,No
Is the airplane in the bottom half of the image?,Yes,Yes
Is the airplane in the sky?,Yes,Yes
What color is the sky?,Blue,Blue
What color is the airplane?,White,White
What color is the object on the right top?,Red,Black
Is the sky blue?,Yes,Yes
Is the airplane white?,Yes,Yes
Is the object on the top left black?,No,No
Are there any motorcycle in image?,Yes,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
How many kite in image?,0,0
Are there any dining table in image?,Yes,No
Where is the building relative to the airplane?,Behind,Below
Is the plane above the cloud?,No,No
Is the building at the bottom of the image?,Yes,Yes
What color are the clouds?,White,White
What color is the sky?,Blue,Blue
Is the sky blue?,Yes,Yes
Are the clouds white?,Yes,Yes
Is the plane black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any giraffe in image?,No,No
Is the plane below the hand?,No,No
Is the hand above the plane?,No,No
Is the plane in the upper half of the image?,Yes,Yes
What color are the wings of the plane?,White,Green
What color is the plane's body?,White,Red
Is the airplane's body red?,Yes,Yes
Are the wings of the airplane green?,Yes,Yes
Is the wall blue?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any truck in image?,Yes,No
Are there any horse in image?,Yes,No
Are there any frisbee in image?,No,No
How many cup in image?,1,0
How many oven in image?,0,0
Is the horizon front the drone?,No,No
What color is the sky?,Blue,Blue
What is the color of the beach?,Brown,Pink
Is the drone's body gray?,Yes,Yes
Is the sky's color blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any suitcase in image?,No,No
How many sports ball in image?,0,1
Are there any sports ball in image?,No,Yes
Are there any couch in image?,No,No
Are there any book in image?,Yes,No
Where is the tablet in relation to the blueprint?,Above,Above
Is the magnifying glass on the paper?,Yes,Yes
Is the hand above the tablet?,No,No
What color is the table?,Brown,White
What color is the hand?,Brown,Brown
What color is the outline of the tablet?,Black,Black
Is the tablet frame black?,Yes,Yes
Is the paper white?,Yes,Yes
Is the lens of the magnifier transparent?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any suitcase in image?,No,No
How many cake in image?,1,0
Are there any bed in image?,No,No
Where is the plane located relative to the person?,Above,Behind
Is the person sitting in behind of a plane?,No,No
Is the plane front the person?,No,No
What color is the plane's wing?,White,Blue
What color is the jacket?,Black,Black
What color is the hat?,Black,Black
Is the person's jacket black?,Yes,Yes
Is the plane's wing blue?,Yes,Yes
Is the person wearing a pink hoodie?,No,No
How many train in image?,1,1
Are there any train in image?,No,Yes
What is the name of the object in the image?,person,train
How many suitcase in image?,0,0
Are there any skis in image?,No,No
Are there any baseball bat in image?,No,No
Are there any banana in image?,No,No
What is the airplane relative to the horizon?,Above,Below
Is the plane in the snow?,Yes,Yes
What color is the sky?,Blue,Blue
What color is the ground?,Brown,White
Is the sky blue?,Yes,Yes
Is the plane silvery?,Yes,Yes
Is the ground white?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
What is the position of the second seat from the window?,Behind,Right
Is the other plane visible through the window?,Yes,Yes
What is the color of the sky?,Blue,Red
Is the sky red?,Yes,Yes
Are the plane seats dark?,Yes,Yes
Is the airplane blue?,Yes,Yes
How many suitcase in image?,0,1
Are there any suitcase in image?,No,Yes
What is the name of the object in the image?,person,suitcase
How many surfboard in image?,0,0
Are there any remote in image?,No,No
Are there any toothbrush in image?,No,No
Where is the toy airplane placed in the image?,Left,Front
Where are the travel tickets located relative to the passport?,Below,Below
Is the airplane on top of the passport?,Yes,Yes
Is the passport under the suitcase?,Yes,Yes
Is the yellow shirt inside the suitcase?,No,No
What color is the passport?,Blue,Blue
Is the suitcase blue?,Yes,Yes
Is the sweater in the suitcase red?,Yes,No
Is the passport blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
How many suitcase in image?,0,0
How many cell phone in image?,1,1
Are there any cell phone in image?,No,Yes
Where is the airplane relative to the globe?,Above,Below
Where is the phone relative to the magnifying glass?,Right,Below
Is the plane above the phone?,No,No
Is the globe to the right of the magnifying glass?,No,No
What color are the wings of the plane?,White,White
What is the color of the border of the phone?,Red,Black
What color is the stand of the globe?,Green,Brown
Is the border of the phone black?,Yes,Yes
Is the plane white?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any handbag in image?,No,No
Are there any bowl in image?,Yes,No
Where is the man relative to the woman?,Behind,Below
Where is the girl's torso relative to the airplane?,Front,Front
Is the woman below the man?,No,No
What is the color of the shirt the man is wearing?,White,White
What is the color of the plane?,White,Green
What is the color of the sky?,Blue,Blue
Is the sky blue?,Yes,Yes
Is the woman wearing a green shirt?,No,No
Is the color of the man's shoes black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Are there any couch in image?,No,No
How many toaster in image?,0,0
How many scissors in image?,1,0
Is the man pointing upwards?,Yes,Yes
Is the bottle in the man's hand?,Yes,Yes
What color are the numbers on the plane?,White,Red
What color is the sky?,Blue,Blue
What color is the man's hat?,Black,Black
Is the sky blue?,Yes,Yes
Are the numbers on the plane red?,Yes,Yes
Does the man wear yellow clothes?,No,No
How many airplane in image?,1,1
Are there any airplane in image?,No,Yes
What is the name of the object in the image?,person,airplane
Are there any cat in image?,Yes,No
Are there any horse in image?,Yes,No
Are there any sports ball in image?,No,No
Are there any microwave in image?,No,No
Is the plane located in the center of the image?,Yes,Yes
Are there trees on the right side of the image?,No,No
What color is the sky?,Blue,Blue
What color are the leaves on the right?,Green,Green
What color is the plane?,White,White
Is the sky blue?,Yes,Yes
Is the plane white?,Yes,Yes
Are there any truck in image?,Yes,No
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
What is the name of the object in the image?,person,dog
Is the bear's head on the floor?,Yes,Yes
Is the lamp front the bear's head?,No,No
How many frisbee in image?,0,0
How many knife in image?,1,1
Are there any knife in image?,Yes,Yes
What is the name of the object in the image?,person,knife
Are there any hot dog in image?,No,No
Are there any mouse in image?,No,No
What is the color of the pen?,Black,Blue
How many person in image?,1,3
Are there any person in image?,Yes,Yes
Are there any elephant in image?,No,No
How many fork in image?,1,0
How many person in image?,1,4
Are there any person in image?,Yes,Yes
How many horse in image?,1,0
How many cup in image?,1,0
Are there any orange in image?,No,No
How many potted plant in image?,1,0
Are there any laptop in image?,No,No
How many bear in image?,0,2
Are there any bear in image?,No,Yes
Are there any tennis racket in image?,No,No
Are there any chair in image?,Yes,No
Are there any train in image?,No,No
Are there any parking meter in image?,No,No
How many bear in image?,0,1
Are there any bear in image?,No,Yes
What is the name of the object in the image?,person,bear
How many giraffe in image?,0,0
Are there any fork in image?,Yes,No
Are there any dining table in image?,Yes,No
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
What is the name of the object in the image?,person,teddy bear
Is the teddy bear on the bench?,Yes,Yes
Is the teddy bear below the bench?,No,No
How many car in image?,1,0
Are there any cake in image?,No,No
How many teddy bear in image?,1,2
Are there any teddy bear in image?,Yes,Yes
How many fire hydrant in image?,0,1
Are there any fire hydrant in image?,No,Yes
What is the name of the object in the image?,person,fire hydrant
Are there any giraffe in image?,No,No
Where is the water?,Behind,Below
Is the central pole between the right pole and the right pole?,No,No
What is the color of the water?,Blue,Black
What is the color of the poles?,Red,White
What color is the structure above the poles?,Red,White
Is the water dark?,Yes,Yes
Are the pillars light colored?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many airplane in image?,1,0
Are there any fire hydrant in image?,No,No
Are there any handbag in image?,No,No
How many clock in image?,1,0
Where is the teddy bear relative to the baby?,Front,Right
Where is the baby's hand relative to the ring?,Above,Left
Is the baby's hand next to the toy?,Yes,Yes
Is the baby wearing striped pajamas?,Yes,Yes
What color is the teddy bear toy?,Brown,Blue
What color is the background?,Green,White
Is the baby's outfit blue?,Yes,Yes
Is the toy's body color blue?,Yes,Yes
Is the wooden circle brown?,Yes,Yes
How many hot dog in image?,0,0
How many potted plant in image?,1,1
Are there any potted plant in image?,Yes,Yes
What is the name of the object in the image?,person,potted plant
How many tv in image?,0,0
Is the toy on the plant?,Yes,Yes
What is the color of the toy?,Yellow,Brown
What color are the leaves?,Green,Green
What color is on the edge of some of the leaves?,Red,Red
Are some of the leaves green?,Yes,Yes
Is the toy brown?,Yes,Yes
Are the edges of some leaves red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any microwave in image?,No,No
Are there any hair drier in image?,No,No
Where is the gun relative to the person?,Front,Behind
Is the man wearing a helmet?,Yes,Yes
What color are the gloves?,Black,White
What is the color of the soldier's jacket?,Blue,Black
What color is the soldier's helmet?,Red,White
Is the helmet white?,Yes,Yes
Is the rope yellow?,Yes,Yes
Are the gloves white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Where is the camera?,Front,Front
What is the color of the sweater?,White,Blue
What color is the bear patch?,Brown,Brown
What color is the camera?,Black,Black
Is the sweater blue?,Yes,Yes
Is the bear patch brown?,Yes,Yes
Is the camera black?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many car in image?,1,1
Are there any car in image?,Yes,Yes
Are there any bowl in image?,Yes,No
Where is the black marker relative to the man with tattoos?,Front,Below
What is the man in the cap located in relation to the bear painting?,Front,Right
